backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
   cuBLAS, 1, 4,-cl-std=CL2.0,1024,0.00101
   clBlas, 1, 4,-cl-std=CL2.0,1024,0.00852
myGEMM.cu, 1, 4,-cl-std=CL2.0,1024,0.01735
myGEMM.cl, 1, 4,-cl-std=CL2.0,1024,0.01688
   cuBLAS, 1, 4,-cl-std=CL2.0,2048,0.00536
   clBlas, 1, 4,-cl-std=CL2.0,2048,0.02036
myGEMM.cu, 1, 4,-cl-std=CL2.0,2048,0.14439
myGEMM.cl, 1, 4,-cl-std=CL2.0,2048,0.11983
   cuBLAS, 1, 4,-cl-std=CL2.0,4096,0.02444
   clBlas, 1, 4,-cl-std=CL2.0,4096,0.10841
myGEMM.cu, 1, 4,-cl-std=CL2.0,4096,1.10031
myGEMM.cl, 1, 4,-cl-std=CL2.0,4096,1.05913
   cuBLAS, 1,16,-cl-std=CL2.0,1024,0.00089
   clBlas, 1,16,-cl-std=CL2.0,1024,0.00780
myGEMM.cu, 1,16,-cl-std=CL2.0,1024,0.00696
myGEMM.cl, 1,16,-cl-std=CL2.0,1024,0.00674
   cuBLAS, 1,16,-cl-std=CL2.0,2048,0.00532
   clBlas, 1,16,-cl-std=CL2.0,2048,0.02029
myGEMM.cu, 1,16,-cl-std=CL2.0,2048,0.05245
myGEMM.cl, 1,16,-cl-std=CL2.0,2048,0.05208
   cuBLAS, 1,16,-cl-std=CL2.0,4096,0.04131
   clBlas, 1,16,-cl-std=CL2.0,4096,0.12947
myGEMM.cu, 1,16,-cl-std=CL2.0,4096,0.38072
myGEMM.cl, 1,16,-cl-std=CL2.0,4096,0.37642
   cuBLAS, 1,32,-cl-std=CL2.0,1024,0.00088
   clBlas, 1,32,-cl-std=CL2.0,1024,0.00718
myGEMM.cu, 1,32,-cl-std=CL2.0,1024,0.00738
myGEMM.cl, 1,32,-cl-std=CL2.0,1024,0.00717
   cuBLAS, 1,32,-cl-std=CL2.0,2048,0.00535
   clBlas, 1,32,-cl-std=CL2.0,2048,0.02041
myGEMM.cu, 1,32,-cl-std=CL2.0,2048,0.05678
myGEMM.cl, 1,32,-cl-std=CL2.0,2048,0.04340
   cuBLAS, 1,32,-cl-std=CL2.0,4096,0.02947
   clBlas, 1,32,-cl-std=CL2.0,4096,0.11439
myGEMM.cu, 1,32,-cl-std=CL2.0,4096,0.33515
myGEMM.cl, 1,32,-cl-std=CL2.0,4096,0.32934
   cuBLAS, 2, 4,-cl-std=CL2.0,1024,0.00091
   clBlas, 2, 4,-cl-std=CL2.0,1024,0.00701
myGEMM.cu, 2, 4,-cl-std=CL2.0,1024,0.02813
myGEMM.cl, 2, 4,-cl-std=CL2.0,1024,0.02830
   cuBLAS, 2, 4,-cl-std=CL2.0,2048,0.00535
   clBlas, 2, 4,-cl-std=CL2.0,2048,0.02045
myGEMM.cu, 2, 4,-cl-std=CL2.0,2048,0.22890
myGEMM.cl, 2, 4,-cl-std=CL2.0,2048,0.18790
   cuBLAS, 2, 4,-cl-std=CL2.0,4096,0.02454
   clBlas, 2, 4,-cl-std=CL2.0,4096,0.10789
myGEMM.cu, 2, 4,-cl-std=CL2.0,4096,1.51454
myGEMM.cl, 2, 4,-cl-std=CL2.0,4096,1.52222
   cuBLAS, 2,16,-cl-std=CL2.0,1024,0.00088
   clBlas, 2,16,-cl-std=CL2.0,1024,0.00756
myGEMM.cu, 2,16,-cl-std=CL2.0,1024,0.00528
myGEMM.cl, 2,16,-cl-std=CL2.0,1024,0.00525
   cuBLAS, 2,16,-cl-std=CL2.0,2048,0.00535
   clBlas, 2,16,-cl-std=CL2.0,2048,0.02069
myGEMM.cu, 2,16,-cl-std=CL2.0,2048,0.04037
myGEMM.cl, 2,16,-cl-std=CL2.0,2048,0.03678
   cuBLAS, 2,16,-cl-std=CL2.0,4096,0.04127
   clBlas, 2,16,-cl-std=CL2.0,4096,0.11937
myGEMM.cu, 2,16,-cl-std=CL2.0,4096,0.25750
myGEMM.cl, 2,16,-cl-std=CL2.0,4096,0.25587
   cuBLAS, 2,32,-cl-std=CL2.0,1024,0.00089
   clBlas, 2,32,-cl-std=CL2.0,1024,0.00571
myGEMM.cu, 2,32,-cl-std=CL2.0,1024,0.00577
myGEMM.cl, 2,32,-cl-std=CL2.0,1024,0.00565
   cuBLAS, 2,32,-cl-std=CL2.0,2048,0.00533
